cluster-id,label,argument
0,日常生活の不都合,何を買えばいいか分からなくなる
0,日常生活の不都合,部屋の電気を消し忘れる
0,日常生活の不都合,毎日献立を考えるのが大変
0,日常生活の不都合,エアコンのリモコンがなくなる
0,日常生活の不都合,冷蔵庫の奥でいつのまにか期限切れになっている
0,日常生活の不都合,家の中でスマホをどこに置いたか忘れる
0,日常生活の不都合,家の鍵をかけたか分からなくなる
0,日常生活の不都合,床屋に行くタイミングがズレる
0,日常生活の不都合,アマゾンで購入した食品の賞味期限を一括管理してアラートを出してほしい。
0,日常生活の不都合,夜ご飯提案
0,日常生活の不都合,料理の再現
0,日常生活の不都合,賞味期限切れを防ぎたい
0,日常生活の不都合,ゴミの日忘れてしまう
0,日常生活の不都合,ネット注文の品が思ってたのと違う
0,日常生活の不都合,日用品の残量確認を忘れてなくなってしまう
0,日常生活の不都合,家の鍵を閉めたか不安になる
0,日常生活の不都合,長期間家を空けるときに必要な確認
0,日常生活の不都合,消耗品の在庫管理
0,日常生活の不都合,賃貸物件の騒音状況が住んでみないと分からない
0,日常生活の不都合,物件の壁の薄さ（防音性）が内見時に分からない
0,日常生活の不都合,服のコーディネイトの効率を上げたい。今年何を買い足せばいいのか無駄がないのかわからない
0,日常生活の不都合,早起きなのだけど、外出時間までつい準備にだらだらしてしまう
0,日常生活の不都合,駅の中にゴミ箱があるかどうか知りたい
0,日常生活の不都合,忘れ物がないか不安
0,日常生活の不都合,帰りに買い物をする予定だったのに忘れてしまった
0,日常生活の不都合,コンタクト2週間の交換時期を忘れる
0,日常生活の不都合,晩ご飯、洗い物当番を忘れる
0,日常生活の不都合,友人に借りたものを返し忘れる
0,日常生活の不都合,買い物リスト忘れる
0,日常生活の不都合,鞄の中で鍵やイヤホンがすぐ見つからない
0,日常生活の不都合,家を出るまであと何分かわからない
0,日常生活の不都合,お弁当の中身がいつも同じで飽きる
0,日常生活の不都合,研究室の冷暖房が自動で消えてしまい，気がついたら室温が上昇している．
0,日常生活の不都合,100円ショップで，商品名はわかるが，ジャンルが不明な商品のジャンル検索．
0,日常生活の不都合,スーパーで買い物する際に，効率なルートがわからない．
0,日常生活の不都合,気温じゃなくて体感温度が知りたい
0,日常生活の不都合,加湿器の定期的なフィルターの消毒がめんどくさいのを解消できたら良いのに
0,日常生活の不都合,糠漬けの独特の匂いが嫌いな家族に伝わりにくくする方法があれば良いのに
0,日常生活の不都合,安くて美味しい一人分の料理を作りたい
0,日常生活の不都合,買ったコスメが何かを忘れてしまう
0,日常生活の不都合,以前どのようなネイルをしたか確認したい
0,日常生活の不都合,服のサイズを忘れてしまう
0,日常生活の不都合,どこで買ったかを忘れてしまう
0,日常生活の不都合,ネイルがひとつの指でも剥げたら気分が落ちる
0,日常生活の不都合,自分にとって必要な睡眠時間がわからない・すぐに寝られない
0,日常生活の不都合,外出時の気温がわからず、帰りに寒い思いをすることがある
0,日常生活の不都合,家がすぐ汚くなる
0,日常生活の不都合,掃除機をかけるのがめんどくさい
0,日常生活の不都合,皿洗いを溜めてしまう
0,日常生活の不都合,朝早く起きなきゃいけないのに夜更かししてしまう（スマホ見ちゃう）
0,日常生活の不都合,いつもギリギリに家を出てしまう
0,日常生活の不都合,爪を可愛くしたいけど塗るのが面倒、落とすのも面倒
0,日常生活の不都合,防水機能を謳う製品の防水寿命が短いのを長くできれば良いのに
0,日常生活の不都合,身に着ける静電気防止製品の効果が実際にあるかが事前に分かれば良いのに
0,日常生活の不都合,スーパーの買い物でマイバッグなどに重心を安定して崩れないような入れる順番などを指示してくれれば良いのに
0,日常生活の不都合,温暖化がCO2だけが原因なのかを確認したいので太陽エネルギーの増減をリアルタイムで見れると良いのに
0,日常生活の不都合,花粉症で花粉の吸引を抑制する不織布マスクと顔に合わない隙間を自動的に狭めてフィルター効果を高めてくれる補助器具があると良いのに
0,日常生活の不都合,朝、服装を考えるとき、外が寒いか、家の中にいるとわからない
0,日常生活の不都合,粗大ゴミを出す指定日を忘れないか心配
0,日常生活の不都合,次に髪を切る日を決めるのに予定を毎回確認する必要がある
0,日常生活の不都合,洗濯物を畳むことが面倒
0,日常生活の不都合,髪の毛を乾かすのが面倒
0,日常生活の不都合,歯を磨くのが面倒
0,日常生活の不都合,寝転んだ状態から立ち上がるのが面倒
0,日常生活の不都合,ハンガーから服が転げ落ちる
0,日常生活の不都合,大きな汗染みを作ってしまった時の恥ずかしさ
0,日常生活の不都合,家にお菓子があるのに、お腹空いている時に色々買ってしまう。
0,日常生活の不都合,ダイソーなどお店によって若干取り扱ってるものが違くて目的の商品を買うのに何個もお店を回った
0,日常生活の不都合,アプリで気温は見れるけどいまいち厚着した方がいいかなどわからない
0,日常生活の不都合,ご飯屋さんで、カバンを置く場所がない
0,日常生活の不都合,米を研ぐ行為が面倒
0,日常生活の不都合,天気によって服装の組み合わせを毎日選ぶのが大変
0,日常生活の不都合,教室の温度調節ができず、寒すぎたり暑すぎたりする．
0,日常生活の不都合,ゴミの分別が難しい。いつも怒られる
0,日常生活の不都合,買い物時にレシピを思い出しながら買うのが手間で整理されていない
0,日常生活の不都合,土地の価格を瞬時に把握する手段がない
0,日常生活の不都合,家に帰る時間にスーパーが閉まっていることが多々あるので、スーパーに限らず近所の知り合いに代理で購入してもらいたい
0,日常生活の不都合,洗剤やシャンプーなどの消耗品を買い忘れる
0,日常生活の不都合,どの種類の花粉がどれくらいいつ飛んでいるのかわからなく、薬を用意しておくのを忘れる
0,日常生活の不都合,気温や天気によって着る服やコーディネートを考えるのが大変
0,日常生活の不都合,一人暮らしだと料理や洗濯のやる気が出ない
0,日常生活の不都合,鍵をなくしたり、見つからないことがある
0,日常生活の不都合,洗濯物が部屋干しだと乾きにくい
0,日常生活の不都合,家族が食べ切れる量の料理を作りたい
0,日常生活の不都合,お気に入りのレシピをまとめておきたい
0,日常生活の不都合,寝る前にデバイスの充電を忘れる
0,日常生活の不都合,近所のスーパーや薬局で商品の値段を自宅で簡単に比較できない
