cluster-id,label,argument
0,「日常の小さなトラブル」,鍵をかけたかどうか忘れる
0,「日常の小さなトラブル」,リモコンや鍵が見つからない
0,「日常の小さなトラブル」,家のカギ閉めたか心配
0,「日常の小さなトラブル」,自転車の鍵をよく無くす
0,「日常の小さなトラブル」,家の鍵を閉め忘れたか、電気を消したか不安になる時がある。
0,「日常の小さなトラブル」,キーボードやマウスが汚れるのが気になる
0,「日常の小さなトラブル」,家の鍵をしめる瞬間に考え事をしてると、鍵しめたかどうかあとで不安になる
0,「日常の小さなトラブル」,管理している施設の鍵が50個くらいあってジャラジャラする
0,「日常の小さなトラブル」,デスクにあるマウスやキーボードが邪魔。
0,「日常の小さなトラブル」,鞄の中で鍵やイヤホンがすぐ見つからない
0,「日常の小さなトラブル」,家の鍵を閉めたかどうか、外出先で不安になることがある。
0,「日常の小さなトラブル」,家の鍵を閉めたか不安になる
0,「日常の小さなトラブル」,使えるコンセントのある場所がわからない
0,「日常の小さなトラブル」,家の鍵をかけたか分からなくなる
0,「日常の小さなトラブル」,エアコンのリモコンがなくなる
0,「日常の小さなトラブル」,鍵をなくしたり、見つからないことがある
0,「日常の小さなトラブル」,リモコンの場所がわからない
0,「日常の小さなトラブル」,鍵を毎回カバンから探すのがめんどくさい
0,「日常の小さなトラブル」,家のコンロの火の元を閉めたか不安になる
0,「日常の小さなトラブル」,家の鍵をかけたか不安になる
0,「日常の小さなトラブル」,仕事中も耳栓をしていたいが、見えない耳栓が存在しない。
0,「日常の小さなトラブル」,鍵が見つからない
0,「日常の小さなトラブル」,リモコンの電池が切れるタイミングが悪い
0,「日常の小さなトラブル」,鍵をかけたか不安になる
0,「日常の小さなトラブル」,コンセントの位置が微妙で不便
0,「日常の小さなトラブル」,コンセントの位置が微妙なことが不便
0,「日常の小さなトラブル」,ZoomのマイクON/OFF切り替え忘れる
0,「日常の小さなトラブル」,荷物が多いと鍵を取り出しにくい
1,大学生活の不便,「運動しなきゃ」と思っても、どこかしら痛くて続かない
1,大学生活の不便,夜中に目が覚めてスマホを見る→眠れなくなる
1,大学生活の不便,ジムの混雑状況がわからない
1,大学生活の不便,ベンチが少ない
1,大学生活の不便,多目的ベッドがある公共トイレが見つけづらい。（トイレ介助が必要な成人身障者との旅行など）
1,大学生活の不便,夜中に目が覚めて水を飲みたい時、照明を暗めに調整しづらい（再入眠の妨げになる）。
1,大学生活の不便,カフェでコンセント付きの席が空いているか分からない
1,大学生活の不便,スポーツジムのマシンの空き状況が分からない。
1,大学生活の不便,映画館で、見たい席が空いているかどうか、直前まで分からない。
1,大学生活の不便,ついつい遅刻してしまう。
1,大学生活の不便,神社や寺のマナーを知りたい
1,大学生活の不便,学校周辺のトイレの場所が分かりづらい
1,大学生活の不便,出かけたいけど、目的地が決まらない
1,大学生活の不便,会食などの店選びで、飲食店やスポットで喫煙ができる場所をわかるようにしたい
1,大学生活の不便,外で急にトイレに行きたくなった場合、コンビニによってはトイレがなくて困る
1,大学生活の不便,カラオケに行くときに部屋の空き情報がわからない
1,大学生活の不便,睡眠時間が遅くなりがち
1,大学生活の不便,どこのサウナ行くか迷った時に空いてる方に行きたいがサウナの混雑度が分からない
1,大学生活の不便,都内などでトイレ行きたくてコンビニ寄ったのにトイレがない
1,大学生活の不便,物件の壁の薄さ（防音性）が内見時に分からない
1,大学生活の不便,図書館で空いている席を探すのが面倒
1,大学生活の不便,コンビニのトイレが使用中かどうか、外からわからない
1,大学生活の不便,次の授業の教室がどこなのか、ポータルを開かないとわからない。
1,大学生活の不便,カフェで電源席が空いているか分からない
1,大学生活の不便,学内のトイレが混んでいて空きを探すのが大変
1,大学生活の不便,自習室の空き状況が分からない
1,大学生活の不便,つい睡眠時間を削りがち。
1,大学生活の不便,賃貸物件の騒音状況が住んでみないと分からない
1,大学生活の不便,朝何時に起きればいいのか、逆算するのが面倒
1,大学生活の不便,喫煙所の場所がわからない。
1,大学生活の不便,朝起きれない。
1,大学生活の不便,ジムで、どのマシンが使われているか、あと何分で空くかがわからない
1,大学生活の不便,公共トイレの場所がわからない
1,大学生活の不便,カフェの電源席が空いているかどうか行ってみないと分からない
1,大学生活の不便,運動を習慣づけることができない。
1,大学生活の不便,自分が行った場所から感染した可能性を知りたい
1,大学生活の不便,ちょっとした不調を改善する方法を知りたいが調べてもよくわからない
1,大学生活の不便,睡眠の長さや質がどう自分の体調にかかわっているのか知りたいがわからない
1,大学生活の不便,有給取得状況がすぐにわからない
1,大学生活の不便,教授のオフィスアワーが自分の空き時間と合わない．
1,大学生活の不便,キャンパス内の静かに勉強できる場所を見つけるのが難しい．
1,大学生活の不便,喫煙可能な場所がわからない．
1,大学生活の不便,カフェのコンセント、WiFiがあるかわからない
1,大学生活の不便,女子トイレがいつも混んでる
1,大学生活の不便,トイレに行きにくい静けさ
1,大学生活の不便,洋式トイレがいつも使われていて使えない（和式トイレは空いてる）
1,大学生活の不便,教室の場所が分かりにくくて迷う
1,大学生活の不便,空きコマの時間が中途半端で有効活用しづらい
1,大学生活の不便,車から漏れていたり歩きタバコなどで漂って残っている煙の臭いがある場所が事前にわかると良いのに
1,大学生活の不便,歩きタバコをしている人の煙がこちらに向かってきていることを事前にわかると良いのに
1,大学生活の不便,朝まだ寝ぼけているが起きている感じで稼働してるようにしたい（ボットとか）→gmのDiscord
1,大学生活の不便,寝る前に明日の時間割やスケジュールを確認したい。
